ibge_municipio,municipio_nome_ibge,uf_sigla,academic_eligibility,mc_score_median,mc_score_p05,mc_score_p95,mc_rank_median,mc_rank_p05,mc_rank_p95,mc_probability_top_decile
520510,Catalão,GO,eligible_proxy,87.20977783203125,83.11827850341797,90.7823257446289,1.0,1.0,3.0,1.0
351620,Franca,SP,eligible_proxy,87.10454559326172,79.92503356933594,92.49931335449219,2.0,1.0,7.0,1.0
520870,Goiânia,GO,eligible_proxy,86.2322998046875,78.45842742919922,92.10348510742188,3.0,2.0,13.0,1.0
521250,Luziânia,GO,eligible_proxy,85.43791198730469,80.51617431640625,89.51705932617188,4.0,3.0,7.0,1.0
350330,Araras,SP,eligible_proxy,84.50399780273438,80.62300109863281,88.07038879394531,5.0,3.0,12.0,1.0
317010,Uberaba,MG,eligible_proxy,82.92974853515625,75.02912139892578,89.03490447998047,7.0,6.0,24.0,1.0
352430,Jaboticabal,SP,eligible_proxy,82.67479705810547,79.88873291015625,85.802490234375,7.0,3.0,29.0,1.0
411370,Londrina,PR,eligible_proxy,82.54334259033203,73.96337127685547,89.00971984863281,9.0,5.0,27.0,1.0
353130,Monte Alto,SP,eligible_proxy,82.17749786376953,79.25847625732422,85.81605529785156,9.0,6.0,35.0,1.0
354140,Presidente Prudente,SP,eligible_proxy,82.30126953125,75.763427734375,87.435302734375,11.0,8.0,21.0,1.0
355220,Sorocaba,SP,eligible_proxy,81.65708923339844,70.86430358886719,89.94127655029297,11.0,4.0,47.0,1.0
354890,São Carlos,SP,eligible_proxy,81.28474426269531,72.96484375,87.77388763427734,13.0,10.0,30.0,1.0
521150,Itumbiara,GO,eligible_proxy,81.13949584960938,77.22071075439453,85.11077117919922,14.0,8.0,38.04999923706055,1.0
410690,Curitiba,PR,eligible_proxy,80.97021484375,70.93521118164062,88.78898620605469,15.0,8.0,44.0,1.0
314790,Passos,MG,eligible_proxy,80.48414611816406,77.5198974609375,83.9986572265625,16.0,8.0,50.04999923706055,1.0
312710,Frutal,MG,eligible_proxy,80.34230041503906,77.21554565429688,83.96894073486328,18.0,9.0,51.0,1.0
317020,Uberlândia,MG,eligible_proxy,80.63850402832031,70.79367065429688,88.26842498779297,18.0,9.0,46.0,1.0
355700,Votorantim,SP,eligible_proxy,80.39654541015625,72.07671356201172,87.26420593261719,19.0,13.0,35.0,1.0
354390,Rio Claro,SP,eligible_proxy,80.1467514038086,71.11671447753906,87.37648010253906,21.0,14.0,43.04999923706055,1.0
430210,Bento Gonçalves,RS,eligible_proxy,80.05958557128906,74.14942932128906,85.19864654541016,22.0,19.0,30.0,1.0
352690,Limeira,SP,eligible_proxy,79.99002838134766,70.16142272949219,87.6370620727539,23.0,11.0,54.0,1.0
353030,Mirassol,SP,eligible_proxy,80.02185821533203,72.95486450195312,86.02904510498047,23.0,14.0,33.0,1.0
320130,Cariacica,ES,eligible_proxy,79.76337432861328,71.8297119140625,86.23067474365234,24.0,15.0,38.0,1.0
320520,Vila Velha,ES,eligible_proxy,79.48052978515625,72.90691375732422,85.54759979248047,25.0,11.0,53.0,1.0
352270,Itápolis,SP,eligible_proxy,79.21199798583984,75.88672637939453,83.31574249267578,25.0,13.0,60.0,1.0
353390,Olímpia,SP,eligible_proxy,79.0567626953125,75.6961669921875,82.46932220458984,26.0,9.0,82.05000305175781,1.0
350280,Araçatuba,SP,eligible_proxy,78.84403228759766,74.09484100341797,83.64872741699219,27.0,13.949999809265137,69.0,1.0
431690,Santa Maria,RS,eligible_proxy,78.66131591796875,69.40542602539062,85.98532104492188,29.0,19.0,61.0,1.0
430280,Caçapava do Sul,RS,eligible_proxy,78.6941909790039,74.80652618408203,81.9955062866211,30.0,7.0,96.05000305175781,1.0
355370,Taquaritinga,SP,eligible_proxy,78.42990112304688,73.98756408691406,82.33688354492188,31.5,4.0,114.05000305175781,1.0
355670,Vinhedo,SP,eligible_proxy,78.63520812988281,70.40143585205078,85.590576171875,32.0,20.0,52.0,1.0
430510,Caxias do Sul,RS,eligible_proxy,78.23062896728516,67.13998413085938,87.02002716064453,32.0,15.0,90.05000305175781,1.0
